,longest_idle_time,score,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,active_time,distance,others_time,step_count,create_time
468,35100000,125,60,335.52005,38897,jQfnryI8/B,2016-09-20 04:35:01.276,1140000,1474243200000,4558159,4597056,5874.7607,0,7590,2016-09-19 07:00:38.372
469,27480000,0,-1,495.39993,30053,jQfnryI8/B,2017-05-12 02:42:36.869,660000,1494460800000,6841806,6871859,8898.769,0,11552,2017-05-11 04:00:01.990
470,24060000,0,-1,888.0755,73342,jQfnryI8/B,2018-04-08 17:26:23.809,2908594,1523059200000,9441911,12423847,11132.294,2908594,16295,2018-04-07 04:00:00.687
471,22860000,0,-1,632.40137,66335,jQfnryI8/B,2018-03-17 18:41:52.898,1888002,1521158400000,9010629,9076964,10879.387,0,14611,2018-03-16 04:00:00.627
472,30780000,0,-1,193.72998,34375,jQfnryI8/B,2016-10-27 16:09:38.680,120000,1477094400000,2748524,2782899,3409.4504,0,4270,2016-10-22 07:00:01.776
473,16380000,0,-1,366.95743,1600,jQfnryI8/B,2018-09-12 13:53:14.636,1200000,1536624000000,3098870,4300470,3439.9226,1200000,4601,2018-09-11 04:00:38.525
474,17280000,0,-1,181.26993,72648,jQfnryI8/B,2016-06-25 14:40:10.408,120000,1465689600000,2329407,2402055,3130.5198,0,3755,2016-06-25 14:40:10.408
475,23220000,0,-1,1088.1472,65014,jQfnryI8/B,2018-06-08 19:21:02.273,3834436,1528329600000,10216922,14116372,13414.187,3834436,19380,2018-06-07 04:00:23.873
476,33659999,0,-1,7.759999799999999,0,jQfnryI8/B,2017-06-23 11:11:53.539,34684,1498089600000,119393,119393,136.64,0,179,2017-06-22 04:00:00.581
477,17520000,0,-1,408.871,47070,jQfnryI8/B,2018-01-03 12:39:35.626,180000,1514851200000,6058774,6105844,7061.854,0,9359,2018-01-02 05:01:02.059
478,21420000,0,-1,218.46999,58618,jQfnryI8/B,2017-02-03 04:42:24.902,540000,1485993600000,2832951,2891569,3943.9797,0,4888,2017-02-02 08:00:01.818
479,27960000,0,-1,379.4001,153860,jQfnryI8/B,2016-12-25 07:14:59.509,360000,1482537600000,4844710,4998570,6390.9395,0,8027,2016-12-24 08:00:42.806
