,date,total_sleep_duration_hr,mean_sleep_efficiency,mean_sleep_quality,total_step_count,total_step_distance,total_step_calorie,mean_step_speed,mean_heart_rate,max_heart_rate,min_heart_rate,mean_exercises_heart_rate,mean_cadence,mean_exercises_speed,max_altitude,max_exercises_heart_rate,max_cadence,max_exercises_speed,min_altitude,min_exercises_heart_rate,altitude_loss,total_exercises_rep_count,altitude_gain,total_exercises_duration,incline_distance,decline_distance,total_exercises_calorie,total_exercises_distance
149,2018-05-23,7.75,93.333336,,,,,,60.88333333333333,50.0,0.0,0.0,0.0,1.5873016000000002,,0.0,0.0,1.8888888,,0.0,0.0,0.0,0.0,12.321783333333334,0.0,0.0,59.97,1041.86
150,2018-05-24,6.183333333333334,90.59139,,,,,,61.523809523809526,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
151,2018-05-25,8.0,92.30769,,,,,,64.87096774193549,0.0,0.0,134.0,0.0,0.0,,182.0,0.0,,,83.0,0.0,0.0,0.0,83.65658333333333,0.0,0.0,444.949,0.0
152,2018-05-26,8.2,92.07317,,,,,,61.2463768115942,53.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,10.13555,0.0,0.0,113.518,0.0
153,2018-05-27,6.116666666666666,91.847824,,,,,,61.166666666666664,53.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
154,2018-05-28,6.233333333333333,88.53333,,,,,,60.41304347826087,0.0,0.0,0.0,0.0,1.6541487,,0.0,0.0,2.3768754,,0.0,0.0,0.0,0.0,11.802283333333333,0.0,0.0,55.13,962.631
155,2018-05-29,8.183333333333334,87.37270798778005,,,,,,58.06818181818182,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
156,2018-05-30,5.75,91.40049300000001,,,,,,61.708333333333336,0.0,0.0,66.5,0.0,0.75595235,,176.0,0.0,1.8055556,,0.0,0.0,0.0,0.0,57.456,0.0,0.0,299.606,1125.52
157,2018-05-31,7.933333333333334,91.19122549159664,,,,,,61.96875,0.0,0.0,128.0,0.0,0.0,,161.0,0.0,,,88.0,0.0,0.0,0.0,56.51988333333333,0.0,0.0,300.644,0.0
158,2018-06-01,6.55,93.90863,,,,,,59.885245901639344,63.0,0.0,,,,,,,,,,,,,,,,,
159,2018-06-02,7.6,90.25157250000001,,,,,,58.078125,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
160,2018-06-03,8.65,90.96154,,,,,,56.41025641025641,0.0,0.0,0.0,0.0,1.5531334,,0.0,0.0,1.8055556,,0.0,0.0,0.0,0.0,22.855183333333333,0.0,0.0,99.93,1839.34
161,2018-06-04,7.233333333333333,90.574715,,,,,,58.16279069767442,0.0,0.0,45.666666666666664,81.975015,1.4132771333333334,,172.0,156.90114,2.6388888,,0.0,0.0,0.0,0.0,61.00191666666666,0.0,0.0,461.336,3897.169
162,2018-06-05,6.4,95.06493,,,,,,57.705882352941174,0.0,0.0,,,,,,,,,,,,,,,,,
163,2018-06-06,7.5,95.42334,,,,,,57.526315789473685,0.0,0.0,0.0,0.0,1.5101888,,0.0,0.0,1.5833334,,0.0,0.0,0.0,0.0,11.703116666666666,0.0,0.0,57.61,1054.906
164,2018-06-07,7.366666666666666,90.97065,,,,,,60.78048780487805,0.0,0.0,129.0,0.0,0.7525035500000002,,219.0,0.0,2.6944444,,81.0,0.0,0.0,0.0,78.62115,0.0,0.0,408.406,1328.67
165,2018-06-08,8.266666666666667,85.11543956653226,,,,,,58.148936170212764,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,20.0,0.0,0.0,168.0,0.0
